,,text_raw,instrument,text_clean,text_freq
150,87,I imagined an old woman going through the entire process of making food and her grandkids waiting eagerly at the table to eat. The grandma and the kids are smiling the entire time and there is lots of sunshine coming through the window into the kitchen.,Guitar,imagine old woman go entire process make food grandkids wait eagerly table eat grandma kid smile entire time lot sunshine come window kitchen,imagine old woman go entire process make food grandkids wait eagerly table eat grandma kid smile entire time lot sunshine come window kitchen
151,184,Raised at a young age to attend church every Sunday,Bells,raise young age attend church every sunday,raise young age attend church every sunday
152,254,The music triggered a memory of watching bridgerton and a ball scene,Cello,music trigger memory watch bridgerton ball scene,trigger memory watch bridgerton ball scene
153,56,I imagined a ball with couples dancing together to this music. It gave a very royal gala vibe in the way that I was picturing it.,Violin,imagine ball couple dance together music give royal gala vibe way picture,imagine ball couple dance together give royal gala vibe way picture
154,227,"not a specific memory with me, but in general thinking about people back then being at a ball or fancy party and hearing this kind of music",Violin,specific memory general thinking people back ball fancy party hearing kind music,specific memory general thinking people back ball fancy party hearing kind
155,264,Reminded me of my mom watching soaps,Harp,remind mom watch soap,remind mom watch soap
156,164,"A marching band with a row of drummers marching down in front of a crowd of people, they are in uniforms",Drum,march band row drummer march front crowd people uniform,march band row drummer march front crowd people uniform
157,213,it triggered a memory of being in ballet class from all the years I took it,Piano,triggered memory ballet class year take,triggered memory ballet class year take
158,81,This sound reminded me of Kung Fu panda with him learning kung fu on the mountain in the open air and in the mountains with the eastern culture,Pipa,sound remind kung fu panda learn kung fu mountain open air mountain eastern culture,sound remind kung fu panda learn kung fu mountain open air mountain eastern culture
159,9, It made me think of Irish moors and of Narnia with the ice.,Bells,make think irish moor narnia ice,make think irish moor narnia ice
160,26,A swan dancing in the river,Flute,swan dance river,swan dance river
161,230,The music triggered a memory of a vacation in Arizona when we were surrounded by desert scenery.,Pipa,music trigger memory vacation arizona surround desert scenery,trigger memory vacation arizona surround desert scenery
162,218,The music sounded like the track from the movie Pride and Prejudice,Violin,music sound like track movie pride prejudice,sound like track movie pride prejudice
163,154,FUNERAL British,Trumpet,funeral british,funeral british
164,253,it didn't trigger a specific memory but reminded me of some kind of ball or dance. which I also kind of thought of the show Bridgerton,Cello,trigger specific memory remind kind ball dance also kind think show bridgerton,trigger specific memory remind kind ball dance also kind think show bridgerton
165,112,I imagined being at a ball like one of the previous pieces I heard. In a huge room with people in fancy gowns,Cello,imagine ball like one previous piece hear huge room people fancy gown,imagine ball like one previous piece hear huge room people fancy gown
166,280,It triggered my memories of playing the bass drum in high school. I was part of the drumlin and would play things like this all the time.,Drum,trigger memory play bass drum high school part drumlin would play thing like time,trigger memory bass drum high school part drumlin would thing like time
167,275,war movies,Trumpet,war movie,war movie
168,130,This made me think of people running through the woods in a play where there is maybe some conflict because the music sounded dramatic,Clarinet,make think people run wood play maybe conflict music sound dramatic,make think people run wood maybe conflict sound dramatic
169,269,It reminded me of my trip to Washington DC in middle school,Trumpet,remind trip washington dc middle school,remind trip washington dc middle school
170,22,Kid walking through woods,Flute,kid walk wood,kid walk wood
171,220,Jane the virgin,Violin,jane virgin,jane virgin
172,194,Every Disney movie ever,Flute,every disney movie ever,every disney movie ever
173,207,An old silent film,Piano,old silent film,old silent film
174,7,fairy,Bells,fairy,fairy
175,31,"as the music went on it became harder and harder for me to imagine a story. At first it reminded me of cartoon music, particularly deep woods and fantasy nymphs playing flutes and maybe fairies.",Flute,music go become hard hard imagine story first remind cartoon music particularly deep wood fantasy nymphs playing flute maybe fairy,go become hard hard imagine story first remind cartoon particularly deep wood fantasy nymphs playing flute maybe fairy
176,24,"I didn't necessarily imagine a story, but the music sounded like the orchestra of one of artists' I listen to and it made me remember that.",Flute,necessarily imagine story music sound like orchestra one artists listen make remember,necessarily imagine story sound like orchestra one artists listen make remember
177,249,Viola lessons in my youth on the Bach cello suites,Cello,viola lesson youth bach cello suite,viola lesson youth bach cello suite
178,100,Larger man walking through the woods to a castke,Cello,large man walk wood castke,large man walk wood castke
179,147,"I imagined a cartoon castle, with the breeze blowing through the flags around it. The beginning felt very royal and triumphant, like the surrounding town being called to gather for an announcement, though the end felt sort of bleak but my story kind of cut off because I couldn't imagine a story element to cause that switch.",Trumpet,imagine cartoon castle breeze blowing flag around begin felt royal triumphant like surround town call gather announcement though end felt sort bleak story kind cut imagine story element cause switch,imagine cartoon castle breeze blowing flag around begin felt royal triumphant like surround town call gather announcement though end felt sort bleak story kind cut imagine story element cause switch
180,175,I was thinking of war time when they have drummers rallying troops before battle starts,Drum,think war time drummer rally troops battle start,think war time drummer rally troops battle start
181,243,"This did not trigger a specific memory for me, but it triggered familiar feelings that I have had with other guitar music",Guitar,trigger specific memory trigger familiar feeling guitar music,trigger specific memory trigger familiar feeling guitar
182,42,"I imagined an army in medieval times going to battle. More specifically, I imagined knights and soldiers on horses.",Piano,imagined army medieval time go battle specifically imagine knight soldier horse,imagined army medieval time go battle specifically imagine knight soldier horse
183,225,This music also reminded me of when I used to play the violin when I was younger and what the violins sounded like playing together,Violin,music also remind use play violin young violin sound like play together,also remind use violin young violin sound like together
184,178,I imagined being at a msu football game or even at my old high school being at the games and school assemblies,Drum,imagine msu football game even old high school game school assembly,imagine msu football game even old high school game school assembly
185,97,This music reminded of a guy on a beach strumming his guitar playing for a small group of people maybe at an island resort,Guitar,music remind guy beach strum guitar play small group people maybe island resort,remind guy beach strum guitar small group people maybe island resort
186,244,It triggered a memory of this show I had to watch in Spanish class called Destinos. The main character traveled to many small Spanish speaking villages and the music sounded similar.,Guitar,triggered memory show watch spanish class call destinos main character travel many small spanish speaking village music sound similar,triggered memory show watch spanish class call destinos main character travel many small spanish speaking village sound similar
187,214,Watching the movie the Titanic,Violin,watch movie titanic,watch movie titanic
188,21,"I imagined a setting, a cartoon alleyway. It was almost a Peter Pan-like story. Nothing vivid, but I could see a boy dancing on a brick road while dancing along to music being played in the background.",Flute,imagined set cartoon alleyway almost peter pan like story nothing vivid could see boy dance brick road dance along music play background,imagined set cartoon alleyway almost peter pan like story nothing vivid could see boy dance brick road dance along background
189,18,sitting in church watching Christmas mass,Bells,sit church watch christmas mass,sit church watch christmas mass
190,176,This piece of music did not make me imagine a story.,Drum,piece music make imagine story,piece make imagine story
191,71,I imagined a man sitting on his amp that connected to his guitar and he's trying to tune his guitar and warm up before he can actually start playing his music.,Pipa,imagine man sit amp connect guitar try tune guitar warm actually start play music,imagine man sit amp connect guitar try tune guitar warm actually start
192,55,"There are two kids having a picnic on a grassy hill. They're having so much fun, laughing, playing around, and eating. Then it starts raining and they're trying to get home but still managing to have fun in the rain.",Violin,two kid picnic grassy hill much fun laugh play around eat start rain try get home still manage fun rain,two kid picnic grassy hill much fun laugh around eat start rain try get home still manage fun rain
193,265,old Turkish dramas I would watch with my mom,Harp,old turkish drama would watch mom,old turkish drama would watch mom
194,158,It's dawn and I see an army camp. Soldiers are waking up and getting out of their barracks. One soldier comes close to a pole and raises a flag.,Trumpet,dawn see army camp soldier wake get barrack one soldier come close pole raise flag,dawn see army camp soldier wake get barrack one soldier come close pole raise flag
195,68,"I imagined a migrant worker leaving for work at the crack of dawn in southern Texas. He is exhausted from the previous days work, and is dreading today's work since it is scorching hot and his feet are bloody from blisters.",Pipa,imagine migrant worker leave work crack dawn southern texas exhaust previous day work dread today work since scorch hot foot bloody blister,imagine migrant worker leave work crack dawn southern texas exhaust previous day work dread today work since scorch hot foot bloody blister
196,106,"Bridgerton the show, British ppl, maybe a wedding",Cello,bridgerton show british ppl maybe wed,bridgerton show british ppl maybe wed
197,191,christmas mass,Bells,christmas mass,christmas mass
198,113,Another ball this time being a tea party and the princesses and princes are promenading around with each other admiring the view and each other.,Cello,another ball time tea party princess prince promenade around admire view,another ball time tea party princess prince promenade around admire view
199,262,This also reminded me of some of the times when I saw the Nutcracker when I was younger because this music seems to have the same energy as the music that goes with the Nutcracker,Clarinet,also remind time saw nutcracker young music seem energy music go nutcracker,also remind time saw nutcracker young seem energy go nutcracker
200,263,The first part reminded me of Harry Potter,Harp,first part remind harry potter,first part remind harry potter
201,4,I imagined two people traveling across a vast plain to an unknown destination.,Bells,imagine two people travel across vast plain unknown destination,imagine two people travel across vast plain unknown destination
202,237,The encanto movie,Guitar,encanto movie,encanto movie
203,30,"gave me kind of 'courtly love"" vibes",Flute,give kind courtly love vibe,give kind courtly love vibe
204,84,I imagined my dad playing the guitar in his office that is right below my room.,Pipa,imagine dad play guitar office right room,imagine dad guitar office right room
205,155,There is a funeral of someone important. It is held next to a very large castle mansion in London. There are a few birds flying in the air.,Trumpet,funeral someone important hold next large castle mansion london bird fly air,funeral someone important hold next large castle mansion london bird fly air
206,128,It's a Jewish family enjoying the carefree days of life pre-Holocaust,Clarinet,jewish family enjoy carefree day life pre holocaust,jewish family enjoy carefree day life pre holocaust
207,109,This created a story of a girl who was trying out for college cello auditions. Her very strict mom is sitting behind the curtains of the stage while four judges sit a single row 4 isles back. The girl auditioning has dark blonde (greek-like) curly hair and sways with the music she makes. She also makes very distinct face expressions.,Cello,create story girl try college cello audition strict mom sit behind curtain stage four judge sit single row isle back girl audition dark blonde greek like curly hair sway music make also make distinct face expression,create story girl try college cello audition strict mom sit behind curtain stage four judge sit single row isle back girl audition dark blonde greek like curly hair sway make also make distinct face expression
208,221,Jack Sparrow and weddings,Violin,jack sparrow wedding,jack sparrow wedding
209,236,not a specific memory but in general it reminded me of when my dad plays guitar in his office cause I can always hear it since his office is right below my room,Pipa,specific memory general remind dad play guitar office cause always hear since office right room,specific memory general remind dad guitar office cause always hear since office right room
210,273,It sounds like the musical siren that sounds on days memorializing the deaths from a battle or the other so it made me think of hearing that as a kid.,Trumpet,sound like musical siren sound day memorialize deaths battle make think hear kid,sound like musical siren sound day memorialize deaths battle make think hear kid
211,255,reminded me of tinkerbell,Clarinet,remind tinkerbell,remind tinkerbell
212,10,"I imagined either a holiday/Christmas setting, snow falling on the ground, evening time, people in a town square dancing, these people may have been dressed in medieval clothing with women wearing tall hats.",Bells,imagine either holiday christmas set snow fall ground evening time people town square dance people may dress medieval clothe woman wear tall hat,imagine either holiday christmas set snow fall ground evening time people town square dance people may dress medieval clothe woman wear tall hat
213,229,"It reminded me of a scene from the movie Eat, Pray, Love",Pipa,remind scene movie eat pray love,remind scene movie eat pray love
214,57,"I imagined a bunch of people in a ballroom, dancing at a high society event",Violin,imagine bunch people ballroom dance high society event,imagine bunch people ballroom dance high society event
215,3,The music reminded me of the opening scene of the movie Coraline. I imagined the Other Mother getting the doll of another girl and completely changing it to match Coraline.,Bells,music remind open scene movie coraline imagine mother get doll another girl completely change match coraline,remind open scene movie coraline imagine mother get doll another girl completely change match coraline
216,65,This music made me think of people dancing at a ball. Something along the lines of Bridgerton with it being old-style dancing with royalty.,Violin,music make think people dance ball something along line bridgerton old style dancing royalty,make think people dance ball something along line bridgerton old style dancing royalty
217,145,"Soldiers going off to battle, guy playing a trumpet as the sun rises on the base",Trumpet,soldier go battle guy play trumpet sun rise base,soldier go battle guy trumpet sun rise base
218,35,people watching an orchestra take place in a huge room,Flute,people watch orchestra take place huge room,people watch orchestra take place huge room
219,136,I imagined a middle eastern setting. Somewhere dark and smoky with the character walking through this area and looking at all the wares.,Harp,imagine middle eastern set somewhere dark smoky character walk area look ware,imagine middle eastern set somewhere dark smoky character walk area look ware
220,148,Soldier funeral,Trumpet,soldier funeral,soldier funeral
221,241,Italy and Spanish culture,Guitar,italy spanish culture,italy spanish culture
222,63,"I imagined a group of friends dressing nicely and eating dinner together, passing baskets of bread and butter around a table in a castle setting. Waiters dressed in black and white and the people getting up in pairs to go ballroom dancing",Violin,imagine group friends dress nicely eat dinner together pass basket bread butter around table castle set waiter dress black white people get pair go ballroom dancing,imagine group friends dress nicely eat dinner together pass basket bread butter around table castle set waiter dress black white people get pair go ballroom dancing
223,102,I imagined a bunch of different people from the Regency period taking a troll by a lake that's in the park. Its a sunny and warm afternoon and everyone is at peace.,Cello,imagined bunch different people regency period take troll lake park sunny warm afternoon everyone peace,imagined bunch different people regency period take troll lake park sunny warm afternoon everyone peace
224,59,Violinist playing; horses running in the forest,Violin,violinist playing horse run forest,violinist playing horse run forest
225,44,I imagined the scene in a castle during a ball where a forbidden love of a man and women blossoms.,Piano,imagined scene castle ball forbidden love man woman blossom,imagined scene castle ball forbidden love man woman blossom
226,282,Listening to my middle school band during their concerts because it sounded like a variety of drums.,Drum,listen middle school band concert sound like variety drum,listen middle school band concert sound like variety drum
227,261,"La Vita e Bella movie, or a happy part of Schindler's List movie",Clarinet,la vita e bella movie happy part schindler list movie,la vita e bella movie happy part schindler list movie
228,104,I imagined a dance almost like the waltz to this song. Something you would find in Bridgerton.,Cello,imagine dance almost like waltz song something would find bridgerton,imagine dance almost like waltz song something would find bridgerton
229,152,"I pictured an old time war battlefield, where the soldiers are waking up from their first battle",Trumpet,picture old time war battlefield soldier wake first battle,picture old time war battlefield soldier wake first battle
230,228,it triggered watching Bridgerton through the specific music that was being played,Violin,trigger watch bridgerton specific music play,trigger watch bridgerton specific
231,170,"some sort of event, drumline playing, maybe a parade",Drum,sort event drumline play maybe parade,sort event drumline maybe parade
232,114,I imagined my friend playing this clarinet solo since he is a clarinet performance major at a top institution in the country. He was in a suit performing at a recital.,Clarinet,imagine friend play clarinet solo since clarinet performance major top institution country suit perform recital,imagine friend clarinet solo since clarinet performance major top institution country suit perform recital
233,122,"Attending a ballet at the theatre, similar to the nutcracker type of sound",Clarinet,attend ballet theatre similar nutcracker type sound,attend ballet theatre similar nutcracker type sound
234,234,"This reminded me of when I used to go to a place to celebrate Chinese New Year. At this event, they would place shapes behind a back drop and create stories with characters with the music similar to the one I just listened to.",Pipa,remind use go place celebrate chinese new year event would place shape behind back drop create story character music similar one listen,remind use go place celebrate chinese new year event would place shape behind back drop create story character similar one listen
235,174,"This made me think of drummers playing in the cheerleaders into a school pep rally. All the cheerleaders were girls with black and red classic cheerleader uniforms. Every time there was an extra emphasis given by the drum line, the girls were thrown, or punched their hands in the hair like a Y-shape, or the school would yell something.",Drum,make think drummer play cheerleader school pep rally cheerleader girls black red classic cheerleader uniform every time extra emphasis give drum line girl thrown punched hand hair like shape school would yell something,make think drummer cheerleader school pep rally cheerleader girls black red classic cheerleader uniform every time extra emphasis give drum line girl thrown punched hand hair like shape school would yell something
236,47,i wasn't able to imagine anything at first but when the scales begun to play it reminded me of the clacking ones heels might make running down a spiral staircase. I imagined a women in a ball gown doing so.,Piano,able imagine anything first scale begin play remind clack one heel might make run spiral staircase imagine woman ball gown,able imagine anything first scale begin remind clack one heel might make run spiral staircase imagine woman ball gown
237,250,Reminded me of my daughter's concerts. She had friends playing the cello and the bass.,Cello,remind daughter concert friend play cello bass,remind daughter concert friend cello bass
238,180,My grandmas Christmas village in the dining room.,Bells,grandma christmas village dining room,grandma christmas village dining room
239,240,It triggered a memory of eating in a Mexican restaurant with my family because it seemed as if the music had that sort of a cultural background,Guitar,triggered memory eat mexican restaurant family seem music sort cultural background,triggered memory eat mexican restaurant family seem sort cultural background
240,196,It triggered a memory of watching Tom and Jerry as a Kid,Flute,triggered memory watch tom jerry kid,triggered memory watch tom jerry kid
241,90,I imagined walking down the streets of Barcelona and taking in all the sites and smells of the bustling city,Guitar,imagined walk street barcelona take site smell bustle city,imagined walk street barcelona take site smell bustle city
242,121,mice running through a house,Clarinet,mouse run house,mouse run house
243,278,Reminded me of the movie Bed knobs and broomsticks,Drum,remind movie bed knob broomstick,remind movie bed knob broomstick
244,281,My uncle visiting in me in MSU and watching the MSU band practice with him.,Drum,uncle visit msu watch msu band practice,uncle visit msu watch msu band practice
245,252,The music triggered a memory of a particular movie I watched but could not remember exactly which one.,Cello,music trigger memory particular movie watch could remember exactly one,trigger memory particular movie watch could remember exactly one
246,101,"I could picture a Bridgerton-era ballroom dance, with women in large colorful dresses twirling to the music. About 30 seconds in when there was a sort of pause in the music I could the one group exit the dance floor and another join in, excited to take part.",Cello,could picture bridgerton era ballroom dance woman large colorful dress twirl music second sort pause music could one group exit dance floor another join excite take part,could picture bridgerton era ballroom dance woman large colorful dress twirl second sort pause could one group exit dance floor another join excite take part
247,216,It made me think of my cousin playing the violin.,Violin,make think cousin playing violin,make think cousin playing violin
248,89,someone sitting on a beach drinking out of a coconut,Guitar,someone sit beach drinking coconut,someone sit beach drinking coconut
249,195,"I've played the flute for 8 years, so as soon as it began, it reminded me of a piece I had to play for concert band in high school.",Flute,play flute year soon begin remind piece play concert band high school,flute year soon begin remind piece concert band high school
250,99,watching a movie where a story is unfolding and as the tempo got faster more and more of the story was being revealed to us and it has you sitting on the edge of your seat looking for more.,Guitar,watch movie story unfold tempo get faster story reveal u sit edge seat look,watch movie story unfold tempo get faster story reveal u sit edge seat look
251,199,It made me think about going to the ballet as a kid as well as reading A Midsummer Night's Dream in high school.,Flute,make think go ballet kid well read midsummer night dream high school,make think go ballet kid well read midsummer night dream high school
252,171,"I imagined captain america smiling after he got all buff in line next to all of the other soldiers. Every soldier is wearing light brown camo. Captain america has a bucket helmet on. He seems really happy. Not sure about the other soldiers, they could care less about the whole thing. They are doing a little marching, but a lot of just standing there.",Drum,imagine captain america smile get buff line next soldier every soldier wear light brown camo captain america bucket helmet seem really happy sure soldier could care less whole thing little marching lot stand,imagine captain america smile get buff line next soldier every soldier wear light brown camo captain america bucket helmet seem really happy sure soldier could care less whole thing little marching lot stand
253,186,pixie hollow,Bells,pixie hollow,pixie hollow
254,38,"I imagined a story of a ballerina on a stage dancing in front of many people in a theater at a performance. She was dancing by herself on the stage, while everyone was watching her and there was a piano to the side playing. The lights where very bright and shining down directly upon her.",Piano,imagined story ballerina stage dance front many people theater performance dancing stage everyone watch piano side play light bright shin directly upon,imagined story ballerina stage dance front many people theater performance dancing stage everyone watch piano side light bright shin directly upon
255,62,"feels like a man and a woman dancing and falling in love-- I can imagine the hand on the corset of an old dress (1700s-1800s?), the closeness, the dance steps",Violin,feel like man woman dance fall love imagine hand corset old dress closeness dance step,feel like man woman dance fall love imagine hand corset old dress closeness dance step
256,157,A military cemetery or memorial for fallen soldiers,Trumpet,military cemetery memorial fallen soldier,military cemetery memorial fallen soldier
257,160,I pictured the civil war era and a field musician playing after a devastating battle. Everyone was very emotional and traumatized afterwards while walking through the fields.,Trumpet,picture civil war era field musician play devastating battle everyone emotional traumatize afterwards walk field,picture civil war era field musician devastating battle everyone emotional traumatize afterwards walk field
258,23,I imagined a girl playing a flute solo at a concert. The concert is dimly lit with lights shining on the stage and the band.,Flute,imagine girl play flute solo concert concert dimly light light shin stage band,imagine girl flute solo concert concert dimly light light shin stage band
259,82,I imagined a rancher living out in Wyoming and taking a ride on his horse through a valley. It was early in the morning and the sun was rising and he was enjoying the calmness of the nature surrounding him.,Pipa,imagine rancher live wyoming take ride horse valley early morning sun rise enjoy calmness nature surround,imagine rancher live wyoming take ride horse valley early morning sun rise enjoy calmness nature surround
260,238,It reminded me of the time I went to Spain to see my friend and how we walked around in the city square at night,Guitar,reminded time go spain see friend walk around city square night,reminded time go spain see friend walk around city square night
261,48,"Old, ornate woodwork. Desperation or passion",Piano,old ornate woodwork desperation passion,old ornate woodwork desperation passion
262,247,Cailluo the bald kid cartoon and old victorian erra Mozart stuff,Cello,cailluo bald kid cartoon old victorian erra mozart stuff,cailluo bald kid cartoon old victorian erra mozart stuff
263,144,it made me imagine like after a movie the crediting screen how it plays with music. that is what I thought of when I heard this music,Harp,make imagine like movie credit screen play music think heard music,make imagine like movie credit screen think heard
264,126,"This reminded me of someone or an animal sneaking through the woods, perhaps to steal from another creature, hiding and peaking out from behind trees and bushes or crawling on the dirt floor.",Clarinet,remind someone animal sneak wood perhaps steal another creature hide peak behind tree bush crawl dirt floor,remind someone animal sneak wood perhaps steal another creature hide peak behind tree bush crawl dirt floor
265,133,"I imagined an animated magical pond in a secluded wooded area. There were a lot of blues and purples, lilypads, and fireflies. When the music picked up, there was some sort of mermaid creature who was embraced by the nature in the pond.",Harp,imagine animated magical pond seclude wooded area lot blue purple lilypads firefly music pick sort mermaid creature embrace nature pond,imagine animated magical pond seclude wooded area lot blue purple lilypads firefly pick sort mermaid creature embrace nature pond
266,49,This music did not make me think of story this time,Piano,music make think story time,make think story time
267,151,"I imagined a group of soldiers coming back from war, and it kind of symbolized and sounded like a new day/beginning.",Trumpet,imagine group soldier come back war kind symbolize sound like new day begin,imagine group soldier come back war kind symbolize sound like new day begin
268,131,I imagined a story about an inspector/investigator at a crime scene trying to identify key pieces to a crime. The main character was wearing a long coat and a top-hat and smoking a pipe.,Clarinet,imagined story inspector investigator crime scene try identify key piece crime main character wear long coat top hat smoking pipe,imagined story inspector investigator crime scene try identify key piece crime main character wear long coat top hat smoking pipe
269,245,it just reminded me of watching El Encanto or COCO,Guitar,remind watch el encanto coco,remind watch el encanto coco
270,257,"Again, it reminded me of when I was in band in high school and there were always people in the practice rooms.",Clarinet,remind band high school always people practice room,remind band high school always people practice room
271,173,"This piece also reminded me of the military, I saw men in uniform holding the types of drums that sit on your chest walking while playing, perhaps walking through camp in the hot sun",Drum,piece also remind military saw men uniform hold type drum sit chest walk play perhaps walk camp hot sun,piece also remind military saw men uniform hold type drum sit chest walk perhaps walk camp hot sun
272,70,Huckleberry fin going down tiver,Pipa,huckleberry fin go tiver,huckleberry fin go tiver
273,284,highscholl drumline at assemblies,Drum,highscholl drumline assembly,highscholl drumline assembly
274,50,being in ballet class doing a barre exercise to this type of music. kicks and turns and quick fast movements that are going to the beat of the music and then switching sides and doing it all over again.,Piano,ballet class barre exercise type music kick turn quick fast movement go beat music switch side,ballet class barre exercise type kick turn quick fast movement go beat switch side
275,27,I imagined a ballerina dancing in the mystical forest,Flute,imagine ballerina dance mystical forest,imagine ballerina dance mystical forest
276,11,"Imagined a girl starting to walk towards something. When the music picked up, the girl began to run. Her intentions were unclear, but in the end, she reached her destination and was surprised by what she saw.",Bells,imagine girl start walk towards something music pick girl begin run intention unclear end reach destination surprise saw,imagine girl start walk towards something pick girl begin run intention unclear end reach destination surprise saw
277,14,The story that this music reminded me of is Shrek. This reminded me of Shrek because of the period of time Shrek is centered around. This music seemed to be fitting for the same time period.,Bells,story music remind shrek remind shrek period time shrek center around music seem fitting time period,story remind shrek remind shrek period time shrek center around seem fitting time period
278,13,I imagined a scene happening in the Middle Ages in a small village and towards the end it felt like going back in time in Ancient Egypt.,Bells,imagined scene happen middle age small village towards end felt like go back time ancient egypt,imagined scene happen middle age small village towards end felt like go back time ancient egypt
279,169,"Along the same lines as the last song, a group of soldiers marching to the battlefield to prepare for war",Drum,along line last song group soldier march battlefield prepare war,along line last song group soldier march battlefield prepare war
280,143,I pictured a Spanish man with a mustache playing acoustic guitar while contemplating his feelings towards a girl.,Harp,pictured spanish man mustache play acoustic guitar contemplate feeling towards girl,pictured spanish man mustache acoustic guitar contemplate feeling towards girl
281,39,I imagined a Bridgerton-era ballroom filled with people dancing in circles dressed in colorful clothing. A man off to the side played the music on a piano.,Piano,imagine bridgerton era ballroom fill people dance circle dress colorful clothing man side play music piano,imagine bridgerton era ballroom fill people dance circle dress colorful clothing man side piano
282,96,I could think of characters such as Gypsies or people in Spain and about to dance tango.,Guitar,could think character gypsy people spain dance tango,could think character gypsy people spain dance tango
283,149,I imagined a royal musician playing a song on the trumpet for the royal family as they arrive.,Trumpet,imagine royal musician playing song trumpet royal family arrive,imagine royal musician playing song trumpet royal family arrive
284,8,The first part of the sound reminded me of an opening sequence for a movie. I got a lot of train vibes too.,Bells,first part sound remind open sequence movie get lot train vibe,first part sound remind open sequence movie get lot train vibe
285,61,"Olden times, when pirates were more common. England. Overcast cold day. A wedding is taking place. White chairs. The wedding ceremony has just begun, and Jack Sparrow the pirate has just broken out of his jail cell in the castle walls. His hands are still cuffed, but he runs like a bafoon across the castle walls with the wedding in the background. No one notices him, and it makes a funny scene in my head as he tries to find a way out of the courtyard without getting caught.",Violin,olden time pirate common england overcast cold day wed take place white chair wed ceremony begin jack sparrow pirate break jail cell castle wall hand still cuff run like bafoon across castle wall wed background one notice make funny scene head try find way courtyard without get caught,olden time pirate common england overcast cold day wed take place white chair wed ceremony begin jack sparrow pirate break jail cell castle wall hand still cuff run like bafoon across castle wall wed background one notice make funny scene head try find way courtyard without get caught
286,270,middle school in turkey,Trumpet,middle school turkey,middle school turkey
287,119,made me think of Pinocchio,Clarinet,make think pinocchio,make think pinocchio
288,183,It only made me think of myself when I was young.,Bells,make think young,make think young
289,98,I imagined the movie El Encanto or COCO because they have people playing guitars like this in the movies,Guitar,imagined movie el encanto coco people play guitar like movie,imagined movie el encanto coco people guitar like movie
290,179,sitting in the stands at half time of your hometown high school football game where the drummers from the band are performing their solo of their halftime performance. the crowd is cheering and everyone is happy,Drum,sit stand half time hometown high school football game drummer band perform solo halftime performance crowd cheer everyone happy,sit stand half time hometown high school football game drummer band perform solo halftime performance crowd cheer everyone happy
291,85,A Hispanic male playing a guitar while a little girl is frolicking thru the streets of her town,Guitar,hispanic male play guitar little girl frolic thru street town,hispanic male guitar little girl frolic thru street town
292,1,The beginning of the story took place in a snowy courtyard in the morning. People were slowly walking to work when children were frantically running (this began at 30 seconds into the piece).,Bells,begin story take place snowy courtyard morning people slowly walk work child frantically run begin second piece,begin story take place snowy courtyard morning people slowly walk work child frantically run begin second piece
293,271,Funeral,Trumpet,funeral,funeral
